,Name,Street Address,Postal Code,Parking Rates
805,Sentosa - Beach Station,Beach View Road,,"MON-FRI Before 5/6 PM
$0.02/min from 7am to 5pm 

MON-FRI After 5/6 PM
$2.40/entry from 5.01pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
806,Sembawang Shopping Centre,604 Sembawang Road,758459,"MON-FRI Before 5/6 PM
$1.28 for 1st hr, $0.43 for next subsequent 15min from 12midnight to 11.59pm 

MON-FRI After 5/6 PM
$1.28 for 1st hr, $0.43 for next subsequent 15min from 12midnight to 11.59pm 

SAT
$1.50 for 1st hr, $0.43 for next subsequent 15min from 12midnight to 11.59pm 

SUN / PUBLIC HOLIDAYS
$1.50 for 1st hr, $0.43 for next subsequent 15min from 12midnight to 11.59pm 

REMARKS
10min grace period, No entry to carpark from 12midnight to 5.59am for all days, Valet Services available on weekends and PH only from 11am to 10pm. 

"
807,Selegie Complex,257 Selegie Road,188350,"MON-FRI Before 5/6 PM
*Building Demolished* 

MON-FRI After 5/6 PM
*Building Demolished* 

SAT
*Building Demolished* 

SUN / PUBLIC HOLIDAYS
*Building Demolished* 

REMARKS
Carpark close 

"
808,Royal Plaza on Scotts,25 Scotts Road,228220,"MON-FRI Before 5/6 PM
$4.80 for 1st hr, $1.80 for next subsequent 30min from 8am to 6pm 

MON-FRI After 5/6 PM
$5.80/entry from 6pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$5.80/entry from 8am to 8am the following day 

"
809,Royal Hotel,36 Newton Road,307964,"MON-FRI Before 5/6 PM
$1.71/hr from 6am to 6pm 

MON-FRI After 5/6 PM
$3.21/entry after 6pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
810,Roxy Square,50 East Coast Road,428769,"MON-FRI Before 5/6 PM
$0.60 for 1st 30min, $0.70 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$2.50/entry from 6pm to 12midnight, $0.70 for next subsequent 30min from 12midnight to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
No grace period 

"
811,Robinson Centre,61 Robinson Road,068893,"MON-FRI Before 5/6 PM
$2.20/30min from 8am to 5pm 

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 8am the following day 

SAT
Charges same as weekdays, but $2.50/entry after 1pm 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays, but $2.50/entry after 1pm 

"
812,Robertson Walk,11 Unity Street,237995,"MON-FRI Before 5/6 PM
$1.50 for 1st hr, $0.50 for next subsequent 30min form 6am to 6pm 

MON-FRI After 5/6 PM
$4.00/entry from 6pm to 6am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$4.00/entry from 6am to 6am the following day 

"
813,Four Points by Sheraton,382 Havelock Road,169629,"MON-FRI Before 5/6 PM
$4.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm  

MON-FRI After 5/6 PM
$4.00/entry from 6pm to 7am the following day  

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Complimentary parking for hotel guests, free 1hr parking for dine in guest 

"
814,"The Ritz Carlton, Millenia Singapore",7 Raffles Avenue,039799,"MON-FRI Before 5/6 PM
$3.30 for 1st hr, $1.10 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$2.20/entry from 6pm to 7am the following day 

SAT
$2.20 for 1st 2hr, $1.10 for next subsequent hr from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$2.20 for 1st 2hr, $1.10 for next subsequent hr from 7am to 7am the following day 

REMARKS
Parking at Millenia Walk 

"
815,NTU RTP Car Park (Research Techno Plaza),50 Nanyang Avenue,639798,"MON-FRI Before 5/6 PM
$0.02/min from 8am to 6pm, maximum charge of $4.80/day 

MON-FRI After 5/6 PM
$1.20/entry from 6pm to 10pm, Free parking from 10pm to 8am the following day 

SAT
Free Parking 

SUN / PUBLIC HOLIDAYS
Free Parking 

REMARKS
Season Parking At $55/mth, 15min grace period 

"
816,Republic Plaza,9 Raffles Place,048619,"MON-FRI Before 5/6 PM
$3.00/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$3.50/entry from 5pm to 7am the following day 

SAT
$3.50/entry from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 7am to 7am the following day 

"
817,Ren Ci Long Term Care,10 Buangkok View,539747,"MON-FRI Before 5/6 PM
$2.40/30min from 7am to 6pm  

MON-FRI After 5/6 PM
$2.40/entry from 6pm to 9pm, $0.04/min from 9pm to 7am the following day  

SAT
$0.04/min from 7am to 1pm, $2.40/entry from 1pm to 9pm, $0.04/min from 9pm to 7am the following day  

SUN / PUBLIC HOLIDAYS
$2.10/entry from 7am to 9pm, $0.04/min from 9pm to 7am the following day  

"
818,RELC International Hotel,30 Orange Grove Road,258352,"MON-FRI Before 5/6 PM
$4.00 for 1st hr, $3.00 for next subsequent 1hr from 7am to 5pm 

MON-FRI After 5/6 PM
$4.50/entry from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$4.50/entry from 7am to 7am the following day 

"
819,Regent Hotel (Basement Parking),1 Cuscaden Road,249715,"MON-FRI Before 5/6 PM
$5.00 for 1st hr, $2.50 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$6.00/entry from 6pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
820,Regency House,121 Penang Road,238464,"MON-FRI Before 5/6 PM
$2.50 for 1st hr, $1.25 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$2.50 for 1st hr, $1.25 for next subsequent 30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
821,ABI Plaza,11 Keppel Road,089057,"MON-FRI Before 5/6 PM
$4.28 for 1st hr, $2.68 for next subsequent 30min from 8am to 6pm 

MON-FRI After 5/6 PM
$4,28/entry from 6pm to 8am the following day 

SAT
Charges same as weekdays, $4.28/entry from 1pm to 8am the following day 

SUN / PUBLIC HOLIDAYS
$4.28/entry from 8am to 8am the following day 

"
822,Raffles Quay,1 Raffles Quay,048583,"MON-FRI Before 5/6 PM
$1.07/10min from 6am to 6pm 

MON-FRI After 5/6 PM
$3.21 for 1st 4hr, $0.27 for next subsequent 10min block or thereof from 6.00pm to 6.00am 

SAT
$3.21 for 1st 4hr, $0.27/hr for next subsequent 10min from 6am to 6am the following day 

SUN / PUBLIC HOLIDAYS
$3.21 for 1st 4hr, $0.27/hr for next subsequent 10min from 6am to 6am the following day 

REMARKS
Season Parking At $321.00/mth 

"
823,Raffles Hotel,1 Beach Road,189673,"MON-FRI Before 5/6 PM
$4.00 for 1st hr, $1.50 for next subsequent 30min from 6am to 10.59pm 

MON-FRI After 5/6 PM
$4.00/entry from 11pm to 5.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
824,Raffles Hospital,585 North Bridge Road,188770,"MON-FRI Before 5/6 PM
$2.80 for 1st hr, $1.70 for next subsequent 30min from 8am to 4.59pm 

MON-FRI After 5/6 PM
$2.40/entry from 5.00pm to 7.59am the following day 

SAT
$2.80 for 1st hr, $1.70 for next subsequent 30min from 8am to 12.59pm, $2.40 for 1st 2hr, $0.24 for next subsequent 10min from 1pm to 7.59am the following day 

SUN / PUBLIC HOLIDAYS
$2.40 for 1st 2hr, $0.24 for next subsequent 10min from 8am to 7.59am the following day 

REMARKS
Day parking capped at $17/day except Weekends and PH 

"
825,Raffles City,252 North Bridge Road,179103,"MON-FRI Before 5/6 PM
$2.20 for 1st hr, $0.55 for next subsequent 15min from 8am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 7.59am the following day 

SAT
$2.20 for 1st 2hr, $0.40 for next subsequent 15min from 8am to 7.59am the following day, $0.60 for next subsequent 15min after the 5th hr 

SUN / PUBLIC HOLIDAYS
$2.20 for 1st 2hr, $0.40 for next subsequent 15min from 8am to 7.59am the following day, $0.60 for next subsequent 15min after the 5th hr 

REMARKS
Season Parking At $224.70/mth 

"
826,Queensway Shopping Centre,1 Queensway,149053,"MON-FRI Before 5/6 PM
$1.92 for 1st 1hr, $1.71 for next subsequent 30min from 8am to 5.59pm 

MON-FRI After 5/6 PM
$3.53/entry from 6pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
No grace period 

"
827,51 Bencoolen Street,51 Bencoolen Street,189630,"MON-FRI Before 5/6 PM
$1.00/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$2.00/hr from 6.01pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
828,79 Anson Road,79 Anson Road,079906,"MON-FRI Before 5/6 PM
$2.00/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$4.00/entry from 6pm to 7am the following day 

SAT
$2.00/30min from 7am to 1pm, $4.00/entry from 1pm to 11pm 

SUN / PUBLIC HOLIDAYS
$4.00/entry from 7am to 7am the following day 

REMARKS
Season Parking At $240.00/mth 

"
829,888 Plaza,888 Woodlands Drive 50,730888,"MON-FRI Before 5/6 PM
$1.00/hr from 7am to 12pm, Free Parking from 12pm to 2pm, $1.00/hr from 2pm to 5pm 

MON-FRI After 5/6 PM
$1.00/entry from 5pm to 12midnight, $2.00/entry from 12midnight to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period, Season Parking At $90.00/mth 

"
830,Adam Road Medical Centre,19 Adam Road,289891,"MON-FRI Before 5/6 PM
Free Parking 

MON-FRI After 5/6 PM
Free Parking 

SAT
Free Parking 

SUN / PUBLIC HOLIDAYS
Free Parking 

"
831,Albert Complex,60 Albert Street,189969,"MON-FRI Before 5/6 PM
$1.20/30min from 7am to 11pm daily 

MON-FRI After 5/6 PM
$1.20/30min from 7am to 11pm daily 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Season Parking At $160.00/mth 

"
832,Albert Court Hotel,180 Albert Street,189971,"MON-FRI Before 5/6 PM
$2.50 for 1st hr, $1.00 for next subsequent 30min from 8am to 6pm 

MON-FRI After 5/6 PM
$3.50/entry from 6pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 8am to 8am the following day 

"
833,Alexandra Hospital,378 Alexandra Road,159964,"MON-FRI Before 5/6 PM
$1.80/hr from 7am to 10pm 

MON-FRI After 5/6 PM
$1.60/hr from 10pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$1.68/hr from 7am to 7am the following day 

REMARKS
10min grace period, Rates shown is for the right lane entry point which is meant for hourly parking and not the left lane meant for Ambulance and Taxi 

"
834,Hotel Grand Pacific,101 Victoria Street,188018,"MON-FRI Before 5/6 PM
$1.50/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$4.00/entry from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$4.00/entry from 7am to 7am the following day 

"
835,Amara Hotel,165 Tanjong Pagar Road,088539,"MON-FRI Before 5/6 PM
$2.00/30min from 8am to 5pm  

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 7.59am the following day  

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 7.59am the following day 

REMARKS
Season Parking At $246.10/mth 10min grace period 

"
836,Amtech Building,157 Sin Ming Road,575624,"MON-FRI Before 5/6 PM
$1.00 for 1st hr, $2.00 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$2.00/entry from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.00/entry from 8am to 8am the following day  

"
837,Anchorpoint Shopping Centre,370 Alexandra Road,159953,"MON-FRI Before 5/6 PM
(Mon-Thu) $2.00/hr from 8am to 5.59pm 

MON-FRI After 5/6 PM
(Mon-Thu) $3.00/entry from 6pm to 11pm 

SAT
(Fri-Sat) $2.00/hr from 8am to 5.59pm, $3.00/entry from 6pm to 2am the following day 

SUN / PUBLIC HOLIDAYS
$2.00/hr from 8am to 5.59pm, $3.00/entry from 6pm to 2am the following day 

REMARKS
Carpark opens till 2am in Fri, Sat & Eve of PH 

"
838,Ang Mo Kio Community Hospital,17 Ang Mo Kio Avenue 9,569766,"MON-FRI Before 5/6 PM
$0.86/30min from 7am to 10pm 

MON-FRI After 5/6 PM
$3.10/entry from 10pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.10/entry from 7am to 7am the following day 

"
839,Hub Synergy,70 Anson Road,079905,"MON-FRI Before 5/6 PM
$2.60/hr from 7am to 6pm  

MON-FRI After 5/6 PM
$1.00/hr from 6pm to 12midnight 

SAT
$1.00/30min from 7am to 2pm, $1.00/hr from 2pm to 12midnight  

SUN / PUBLIC HOLIDAYS
$1.00/hr from 7am to 12midnight  

"
840,2HR,2 Havelock Road,059763,"MON-FRI Before 5/6 PM
$1.50/30min from 7am to 4.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 7am the following day 

REMARKS
10min grace period 

"
841,Automobile Megamart (AML),61 Ubi Avenue 2,408898,"MON-FRI Before 5/6 PM
$1.50/hr from 8am to 6pm 

MON-FRI After 5/6 PM
$2.00/entry from 6pm to 12midnight the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period, Hourly parking till 12midnight only, Season parking at $140/mth for level 1 or 6, $130/mth for level 7 

"
842,Balestier Plaza,400 Balestier Road,329802,"MON-FRI Before 5/6 PM
$1.20/hr 

MON-FRI After 5/6 PM
$1.20/hr 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
843,Balestier Point,279 Balestier Road,329727,"MON-FRI Before 5/6 PM
$1.40 for 1st hr, $0.70 for next subsequent 30min from 8am to 10pm 

MON-FRI After 5/6 PM
$2.50/entry from 10pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.50/entry from 8am to 8am the following day 

REMARKS
Season Parking At $90.00/mth 

"
844,Bangkok Bank Building,180 Cecil Street,069546,"MON-FRI Before 5/6 PM
$2.30 for the 1st 30min, $4.00 for the next subsequent hr from 7am to 7pm 

MON-FRI After 5/6 PM
$2.30 for the 1st 30min, $4.00 for the next subsequent hr from 7am to 7pm 

SAT
$2.30 for the 1st 30min, $4.00 for the next subsequent hr from 7am to 3pm 

SUN / PUBLIC HOLIDAYS
Closed 

"
845,Beach Centre,15 Beach Road,189677,"MON-FRI Before 5/6 PM
$1.50 for 1st 30min, $1.20 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$3.50/entry from 6pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 7am to 7am the following day 

"
846,The Bencoolen,180 Bencoolen Street,189646,"MON-FRI Before 5/6 PM
$1.20/30min from 6am to 5pm 

MON-FRI After 5/6 PM
$1.20/hr from 5pm to 11pm, $3.00/entry from 11pm to 6am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$1.20/hr from 6am to 11pm, $3.00/entry from 11pm to 6am the following day 

REMARKS
No grace period 

"
847,28 Maxwell Rd,28 Maxwell Road,069120,"MON-FRI Before 5/6 PM
$2.60 for 1st hr, $0.55 for next subsequent 15min from 7am to 4.59pm 

MON-FRI After 5/6 PM
$3.60/entry from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.60/entry from 7am to 7am the following day 

"
848,Bras Basah Complex,231 Bain Street,180231,"MON-FRI Before 5/6 PM
$1.20/30min from 7am the 10am, $1.40/30min from 10am to 10.30pm 

MON-FRI After 5/6 PM
$0.60/30min from 10.30pm to 7am the following day 

SAT
$1.20/30min from 7am the 10am, $1.40/30min from 10am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.60/30min from 7am the 10am, $1.40/30min from 10am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day 

REMARKS
Per minute charging, night parking capped at $5.00 from 10.30pm to 7am 

"
849,Chijmes (Basement Car Park),30 Victoria Street,187996,"MON-FRI Before 5/6 PM
$0.60/15min from 8am to 5.59pm 

MON-FRI After 5/6 PM
(Mon to Thurs) $0.65/15min from 6pm to 10.59pm, $0.45/15min from 11pm to 07.59am the following day (capped at $5.35) 

SAT
$0.65/15min from 8am to 5.59pm, (Fri to Sat) $0.70/15min from 6pm to 10.59pm, $0.50/15min from 11pm to 7.59am (capped at $6.45) 

SUN / PUBLIC HOLIDAYS
$0.65/15min fr 8am to 10.59pm, $0.45/15min fr 11pm to 07.59am (capped at $5.35), (Eve/PH) $0.65/15min fr 8am to 5.59pm, $0.70/15min fr 6pm to 10.59pm, $0.50/15min fr 11pm to 7.59am 

REMARKS
*10min grace period
*parking rates are inclusive of GST.
*season parking at $214 monthly from 7am to 7pm weekdays 

"
850,Changi Village Hotel,1 Netheravon Road,508502,"MON-FRI Before 5/6 PM
$4.00 for 1st hr, $3.00 for next subsequent hr from 6am to 5pm 

MON-FRI After 5/6 PM
(Mon-Thur) $6.50/entry from 6pm to 5am the following day, (Fri) $4.00 for 1st hr, $3.00 for next subsequent hr from 5pm to 12am, $6.50/entry from 12am to 5am the following day 

SAT
$4.00 for 1st hr, $3.00 for next subsequent hr from 6am to 6am the following day 

SUN / PUBLIC HOLIDAYS
$4.00 for 1st hr, $3.00 for next subsequent hr from 6am to 6am the following day 

"
851,Changi Hospital (CGH),2 Simei Street 3,529889,"MON-FRI Before 5/6 PM
$1.50 for 1st hr, $0.03/min for next subsequent min from 7am to 5pm 

MON-FRI After 5/6 PM
$1.50 for 1st hr, $0.03/min for next subsequent min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
852,Century Square,2 Tampines Central 5,529509,"MON-FRI Before 5/6 PM
$1.28 for 1st hr, $0.68 for next subsequent 30min from 3.01am to 6pm 

MON-FRI After 5/6 PM
$2.57/entry from 6.01pm to 3am the following day 

SAT
$1.40 for 1st hr, $0.35/15min for next subsequent 2hr, $0.43/15min subsequently, $2.57/entry from 6.01pm to 3am the following day 

SUN / PUBLIC HOLIDAYS
$1.40 for 1st hr, $0.35/15min for next subsequent 2hr, $0.43/15min subsequently, $2.57/entry from 6.01pm to 3am the following day 

REMARKS
Season Parking At $385.20/quarterly 

"
853,Orchard Building,1 Grange Road,239693,"MON-FRI Before 5/6 PM
$1.30/30min from 6.30am to 6pm 

MON-FRI After 5/6 PM
$1.10/30min from 6pm to 11pm, $0.90/30min from 11pm to 6.30am the following day capped at maximum $7.20 for 4hrs 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$1.10/30min from 6.30am to 11pm, $0.90/30min from 11pm to 6.30am the following day capped at maximum $7.20 for 4hrs 

"
854,The Centrepoint,176 Orchard Road,238843,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 5pm 

MON-FRI After 5/6 PM
$2.00 for 1st hr, $1.50 for next subsequent hr from 5pm to 7am the following day 

SAT
$2.00 for 1st hr, $1.50/30min subsequently from 7am to 5pm, $2.00 for 1st hr, $1.50/hr subsequently from 5pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$2.00 for 1st hr, $1.50/30min subsequently from 7am to 5pm, $2.00 for 1st hr, $1.50/hr subsequently from 5pm to 7am the following day 

REMARKS
No grace period 

"
855,Central Mall,1 & 3 Magazine Road,059567,"MON-FRI Before 5/6 PM
$2.40 for 1st hr, $1.20 for next subsequent 30min from 7.01am to 5pm 

MON-FRI After 5/6 PM
$3.60/entry from 5.01pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.60/entry from 7.01am to 7am the following day 

REMARKS
5min grace period 

"
856,Causeway Point,1 Woodlands Square,738099,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5pm 

MON-FRI After 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 10.30pm 

SAT
$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 12midnight 

SUN / PUBLIC HOLIDAYS
$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 12midnight 

REMARKS
No overnight parking is allowed 

"
857,Carlton Hotel,76 Bras Basah Road,189558,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$6.00/entry from 6pm to 7am the following day on Mon to Sat and eve of PH 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Season Parking At $228.00/mth, 10min grace period 

"
858,CapitaCommercial Trust (CCT),39 Robinson Road,068911,"MON-FRI Before 5/6 PM
$2.05/30min from 8am to 5pm 

MON-FRI After 5/6 PM
$3.10/entry from 5pm to 8am the following day 

SAT
Charges same as weekdays, $3.10/entry after 1pm 

SUN / PUBLIC HOLIDAYS
$3.10/entry 

"
859,Capitol Centre,141 North Bridge Road,179099,"MON-FRI Before 5/6 PM
Carpark not in use 

MON-FRI After 5/6 PM
Carpark not in use 

SAT
Carpark not in use 

SUN / PUBLIC HOLIDAYS
Carpark not in use 

"
860,Capital Tower,168 Robinson Road,068912,"MON-FRI Before 5/6 PM
$2.80/30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$3.70/entry from 6pm to 6.59am the following day 

SAT
$2.80/30min from 7am to 12.59pm, $3.70/entry from 1pm to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$3.70/entry from 7am to 6.59am the following day 

"
